Word	Definition (from WordNet, Google, or Wikipedia)	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
aardvark	"nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata"	1																													1																							
abacus	a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves													1																																								
accordion	"a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player"																		1																																			
acorn	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base																																																					
air conditioner	a system that keeps air cool and dry									1																																1												
air mattress	a mattress that can be stored flat and inflated for use												1																																									
air pump	a pump that moves air in or out of something																							1																														
airbag	"a safety restraint in an automobile; the bag inflates on collision and prevents the driver or passenger from being thrown forward"																				1																																	
airboat	a shallow-draft boat powered by an aircraft engine, for use in swamps																										1								1																			
aircraft carrier	a large warship that carries planes and has a long flat deck for takeoffs and landings																										1								1																			
airplane	an aircraft that has a fixed wing and is powered by propellers or jets																										1																											
album	"a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc"													1																																								
alligator	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	1																																																				
almond	oval-shaped edible seed of the almond tree										1																																											
aloe	"succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa"																					1																																
alpaca	"domesticated llama with long silky fleece; believed to be a domesticated variety of the guanaco"	1																													1																							
altar	a raised structure on which gifts or sacrifices to a god are made																																																					
aluminum foil	foil made of aluminum																																																					
amber	"a hard yellowish to brownish translucent fossil resin; used for jewelry"																																																					
ambulance	a vehicle that takes people to and from hospitals																										1																											
amplifier	electronic equipment that increases strength of signals passing through it									1																																												
anchor	a mechanical device that prevents a vessel from moving																																																					
ankle	a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus			1																																																		
anklet	an ornament worn around the ankle																																	1																				
ant	"social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers"	1													1																																							
anteater	toothless mammal of southern Africa and Asia having a body covered with horny scales and a long snout for feeding on ants and termites	1																													1																							
antelope	"graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks"	1																													1																							
antenna	an electrical device that sends or receives radio or television signals																																																					
anvil	a heavy block of iron or steel on which hot metals are shaped by hammering																							1																														
appetizer	food or drink to stimulate the appetite (usually served before a meal or as the first course)										1																																											
apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh										1	1																																										
apple tree	any tree of the genus Malus especially those bearing firm rounded edible fruits																					1																																
applesauce	puree of stewed apples usually sweetened and spiced										1																									1																		
apron	a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing				1																																												1				1	
aquarium	a tank or pool or bowl filled with water for keeping live fish and underwater animals						1							1																																								
arch	a curved shape in the vertical plane that spans an opening																																																					
arm	"a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb"			1																																																		
armor	protective covering made of metal and used in combat				1																																									1			1					
arrow	"a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow"																											1																										
artichoke	a thistlelike flower head with edible fleshy leaves and heart										1											1				1																												
arugula	erect European annual often grown as a salad crop to be harvested when young and tender										1											1				1																												
ashtray	a receptacle for the ash from smokers' cigars or cigarettes						1																																															
asparagus	edible young shoots of the asparagus plant										1											1				1																												
avocado	a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed										1	1																																										
awning	a canopy made of canvas to shelter people or things from rain or sun																																																					
axe	an edge tool with a heavy bladed head mounted across a handle																							1				1		1							1																	
baby	a very young child (birth to 1 year) who has not yet begun to walk or talk																																																					
backdrop	scenery hung at back of stage																																																					
backgammon	"a board game for two players; pieces move according to throws of the dice"																																																		1			
backpack	a bag carried by a strap on your back or shoulder						1																																								1							
backscratcher	a long-handled scratcher for scratching your back																							1																														
bacon	"back and sides of a hog salted and dried or smoked; usually sliced thin and fried"										1																																	1										
badge	an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.)																																																					
badger	"sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere"	1																													1																							
bag	a flexible container with a single opening						1																																															
bagel	(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust										1																																	1										
bagpipe	"a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone"																		1																																			
baklava	rich Middle Eastern cake made of thin layers of flaky pastry filled with nuts and honey							1			1																																											
balance beam	a gymnastic apparatus used by women gymnasts																						1																															
ball	a spherical object used as a plaything																						1		1																													
balloon	small thin inflatable rubber bag with narrow neck																								1																													
ballot box	a box where voters deposit their ballots						1																																															
bamboo	"woody tropical grass having hollow woody stems; mature canes used for construction and furniture"																					1																																
banana	elongated crescent-shaped yellow fruit with soft sweet flesh										1	1																																										
banana peel	the skin of a banana (especially when it is stripped off and discarded)																																																					
banana split	a banana split lengthwise and topped with scoops of ice cream and sauces and nuts and whipped cream							1			1																																											
bandage	a piece of soft material that covers and protects an injured part of the body																	1																																				
bandanna	"large and brightly colored handkerchief; often used as a neckerchief"				1	1																																										1						
banjo	a stringed instrument of the guitar family that has long neck and circular body																		1																																			
bank	a container (usually with a slot in the top) for keeping money at home						1																																															
banner	long strip of cloth or paper used for decoration or advertising																																																					
barbed wire	strong wire with barbs at regular intervals used to prevent passage																																																					
barbell	"a bar to which heavy discs are attached at each end; used in weightlifting"																						1																															
barcode	"code consisting of a series of vertical bars of variable width that are scanned by a laser; printed on consumer product packages to identify the item for a computer that provides the price and registers inventory information"																																																					
bark	tough protective covering of the woody stems and roots of trees and other woody plants																																																					
barnacle	"marine crustaceans with feathery food-catching appendages; free-swimming as larvae; as adults form a hard shell and live attached to submerged surfaces"	1																														1																						
barrel	"a bulging cylindrical shape; hollow with flat ends"						1																																															
barrette	a pin for holding women's hair in place																																1	1																				
baseball	a ball used in playing baseball																						1																															
baseball bat	an implement used in baseball by the batter																						1					1																										
baseball glove	the handwear used by fielders in playing baseball																						1																															
basil	any of several Old World tropical aromatic annual or perennial herbs of the genus Ocimum										1											1																																
basket	a container that is usually woven and has handles						1																																															
basketball	an inflated ball used in playing basketball																						1																															
basketball hoop	horizontal circular metal hoop supporting a net through which players try to throw the basketball																						1																															
bassinet	a basket (usually hooded) used as a baby's bed												1																																									
bassoon	"a double-reed instrument; the tenor of the oboe family"																		1																																			
bat	nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate	1																													1																							
bat	a club used for hitting a ball in various games																						1					1																										
bathmat	a heavy towel or mat to stand on while drying yourself after a bath																																																					
bathrobe	"a loose-fitting robe of towelling; worn after a bath or swim"				1																																																	
bathtub	a relatively large open container that you fill with water and use to wash the body						1																																															
baton	a thin tapered rod used by a conductor to lead an orchestra or choir																																																					
baton	a short stout club used primarily by policemen																											1																										
baton	a hollow metal rod that is wielded or twirled by a drum major or drum majorette																						1																															
baton	a hollow cylinder passed from runner to runner in a relay race																						1																															
batter	a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking										1																																											
battery	"a device that produces electricity; may have several primary or secondary cells arranged in parallel or series"																																																					
bazooka	a portable rocket launcher used by infantrymen as an antitank weapon																											1																										
beachball	"large and light ball; for play at the seaside"																						1		1																													
bead	a small ball with a hole through the middle																																								1													
beaker	"a flatbottomed jar made of glass or plastic; used for chemistry"						1																																	1														
bean	any of various seeds or fruits that are beans or resemble beans										1																																											
beanbag	"a small cloth bag filled with dried beans; thrown in games"												1																																									
beanie	"a small skullcap; formerly worn by schoolboys and college freshmen"				1																																											1						
bear	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws	1																													1																							
beard	the hair growing on the lower part of a man's face			1																																																		
beaver	"large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges"	1																													1																							
bed	a piece of furniture that provides a place to sleep												1																																									
bedpan	a shallow vessel used by a bedridden patient for defecation and urination						1											1																																				
bedpost	any of 4 vertical supports at the corners of a bedstead																																																					
bee	any of numerous hairy-bodied insects including social and solitary species	1													1																																							
beehive	"a structure that provides a natural habitation for bees; as in a hollow tree"																																																					
beer	a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops								1																																													
beet	round red root vegetable										1															1																												
beetle	insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings	1													1																																							
bell	a hollow device made of metal that makes a ringing sound when struck																		1																																			
bell pepper	large bell-shaped sweet pepper in green or red or yellow or orange or black varieties										1															1																												
belt	a band to tie or buckle around the body (usually at the waist)				1	1																																																
belt buckle	the buckle used to fasten a belt					1																											1																					
bench	a long seat for more than one person												1																																									
berry	"any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves"										1	1																																										
bib	a napkin tied under the chin of a child while eating																																																					
bike	a wheeled vehicle that has two wheels and is moved by foot pedals																										1																											
bikini	a woman's very brief bathing suit				1																																																	1
bin	"a container; usually has a lid"						1																																															
binder	holds loose papers or magazines																			1																											1							
binoculars	an optical instrument designed for simultaneous use by both eyes																																																					
bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	1	1																																																			
birdbath	an ornamental basin (usually in a garden) for birds to bathe in						1							1																																								
birdcage	a cage in which a bird can be kept						1							1																																								
birdhouse	a shelter for birds													1																																								
birthday cake	decorated cake served at a birthday party							1			1																																											
biscuit	small round bread leavened with baking-powder or soda										1																																											
bison	any of several large humped bovids having shaggy manes and large heads and short horns	1																													1																					1		
