"uniqueID","manmade_mean","manmade_sd","precious_mean","precious_sd","lives_mean","lives_sd","heavy_mean","heavy_sd","natural_mean","natural_sd","moves_mean","moves_sd","grasp_mean","grasp_sd","hold_mean","hold_sd","be.moved_mean","be.moved_sd","pleasant_mean","pleasant_sd","arousing_mean","arousing_sd","n"
"aardvark","1.2632","1.0050","4.6053","1.2848","6.8421","0.5466","4.7895","1.3786","6.7105","0.6538","6.9211","0.2733","3.1579","1.2633","3.1842","1.4305","3.3158","1.3775","4.3947","1.0277","4.1579","1.0274",39
"abacus","6.8718","0.4091","4.1026","1.6669","1.5128","1.4118","3.3590","1.4233","2.2051","1.3607","4.2308","1.8703","5.5128","1.0481","5.4359","1.1424","5.6667","1.1547","4.7436","0.9925","3.7692","0.9308",38
"accordion","6.7500","0.6492","4.5000","1.7485","1.5000","1.2536","5.0556","1.4530","2.0000","1.1711","4.6944","1.9097","4.8889","1.4298","4.9167","1.2734","5.0833","1.3810","5.0556","1.3511","3.8889","1.3262",35
"acorn","1.2000","0.7195","4.2000","1.6768","5.0000","1.5530","1.4857","0.8179","6.8286","0.5137","2.7143","1.6903","6.5714","0.6081","6.7429","0.4434","6.7429","0.4434","5.1143","1.0508","3.5429","0.9185",34
"air_conditioner","6.8158","0.8336","4.1579","1.8820","1.2895","0.6538","6.1842","0.8961","1.3684","0.5891","2.1842","1.3528","3.3947","1.6528","2.6316","1.4222","2.6842","1.2757","5.7368","1.0574","2.7632","1.4784",37
"air_mattress","6.5556","1.5013","3.1111","1.7530","1.1389","0.5426","2.7778","1.5877","1.3611","0.7617","2.6111","1.8865","4.8056","1.3271","4.5556","1.5756","5.6389","1.3555","4.7222","1.1859","3.3056","1.2833",39
"air_pump","6.3947","1.5516","3.0000","1.7398","1.3684","0.9130","2.7632","1.4414","1.6053","1.0537","4.0000","2.1309","6.2105","1.0438","6.1316","1.0698","6.2105","0.7766","4.3684","0.8517","4.0789","0.7844",33
"airbag","6.8649","0.3466","4.4324","2.0755","1.3243","1.0555","2.8108","1.5958","1.4324","0.9586","4.1622","2.1018","3.5676","1.4821","3.4054","1.5359","3.5946","1.7553","3.8108","1.3507","4.6486","1.5849",38
"airboat","6.4054","1.4232","3.5135","1.8200","1.2432","0.4947","6.8108","0.3971","1.4865","0.6921","6.6486","0.9194","3.0000","1.9003","1.7027","1.3095","4.7838","1.6689","5.0270","1.0134","4.0000","1.3540",36
"aircraft_carrier","6.7222","1.0313","4.5833","1.6453","1.2778","0.6146","6.8333","1.0000","1.3056","0.6242","6.6667","0.4781","2.0833","1.6279","1.1944","0.5767","2.7778","1.8065","4.1667","0.9411","4.3889","1.1778",38
"airplane","6.8947","0.3883","5.1579","1.6526","1.2368","0.8833","6.5789","1.1060","1.8158","1.3327","6.5789","1.0813","1.8684","1.3187","1.3158","0.9330","3.3684","1.7618","4.9211","1.1480","4.3684","1.2823",36
"album","6.4474","1.2013","6.2105","0.8107","1.7368","1.5011","2.8947","1.6732","2.0263","1.2837","2.0263","1.4044","6.1579","0.8551","6.3684","0.7505","6.2632","0.8280","6.3158","0.8089","2.7368","1.5714",38
"alligator","1.0000","0.0000","4.4250","1.7958","7.0000","0.0000","6.0000","0.8771","6.7750","0.6197","7.0000","0.0000","2.0500","1.3765","1.4750","0.6400","1.9500","1.1756","3.0750","1.4392","5.9250","1.0715",37
"almond","1.7714","1.7165","4.3714","1.6992","4.5429","1.9755","1.3714","0.5983","6.8000","0.4058","2.1429","1.3093","6.3143","0.8321","6.6000","0.6039","6.6571","0.6835","5.6000","1.3763","3.2286","1.3522",35
"aloe","1.5263","1.0587","4.9737","1.3046","6.3158","0.8089","2.7895","1.3786","6.7632","0.8522","2.5526","1.4463","5.2632","1.4082","5.4474","1.3496","5.5263","1.3098","5.8158","1.0096","2.6579","1.3612",36
"alpaca","1.0833","0.2803","5.2500","1.1307","6.8611","0.3507","6.1389","0.9607","6.6667","0.7171","6.7222","0.5133","3.1944","1.5084","2.4444","1.4822","3.0278","1.5021","5.1111","1.3262","3.3889","1.3154",33
